Year,Title,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
1977,The_Rescuers.txt,0.018018018018018000,0.03828828828828830,0.38288288288288300,0.07545045045045040,0.06869369369369370,0.04842342342342340,0.024774774774774800,0.1936936936936940,0.04842342342342340,0.021396396396396400,0.018018018018018000,0.018018018018018000,0.03828828828828830,0.0011261261261261300,0.0045045045045045000
1981,The_Fox_and_the_Hound.txt,0.0015290519877675800,0.08868501529051990,0.0015290519877675800,0.1345565749235470,0.07033639143730890,0.10703363914373100,0.0061162079510703400,0.37767584097859300,0.04281345565749240,0.0015290519877675800,0.0015290519877675800,0.01070336391437310,0.04740061162079510,0.07951070336391440,0.029051987767584100
1985,The_Black_Cauldron.txt,0.001287001287001290,0.07464607464607460,0.001287001287001290,0.005148005148005150,0.44144144144144100,0.01673101673101670,0.001287001287001290,0.17503217503217500,0.001287001287001290,0.001287001287001290,0.001287001287001290,0.001287001287001290,0.02059202059202060,0.21364221364221400,0.04375804375804380
1986,The_Great_Mouse_Detective.txt,9.89119683481701E-04,0.033630069238377800,0.03066271018793270,0.036597428288822900,0.08110781404549950,0.42235410484668600,0.00692383778437191,0.18496538081107800,0.018793273986152300,0.018793273986152300,9.89119683481701E-04,0.039564787339268100,0.04549950544015830,0.0722057368941642,0.00692383778437191
1988,Oliver_&_Company.txt,0.05760151085930120,0.08876298394711990,9.44287063267233E-04,0.2983947119924460,0.08309726156751650,0.08593012275731820,0.026440037771482500,0.182247403210576,0.05193578847969780,9.44287063267233E-04,0.03777148253068930,0.01510859301227570,0.03210576015108590,0.03777148253068930,9.44287063267233E-04
1989,The_Little_Mermaid.txt,0.006647673314339980,0.1405508072174740,0.012345679012345700,0.0037986704653371300,0.10066476733143400,0.026590693257359900,0.012345679012345700,0.0778727445394112,0.1832858499525170,0.0037986704653371300,0.029439696106362800,0.029439696106362800,0.05508072174738840,0.13200379867046500,0.18613485280151900
1990,The_Rescuers_Down_Under.txt,0.012670565302144200,0.018518518518518500,0.4395711500974660,0.044834307992202700,0.03606237816764130,0.0682261208576998,9.74658869395711E-04,0.2202729044834310,0.0419103313840156,0.027290448343079900,0.003898635477582850,0.03021442495126710,0.009746588693957120,0.015594541910331400,0.03021442495126710
1991,Beauty_and_the_Beast.txt,7.21500721500722E-04,0.03751803751803750,0.007215007215007220,7.21500721500722E-04,0.07864357864357870,0.01803751803751800,0.002886002886002890,0.15223665223665200,0.046176046176046200,0.007215007215007220,0.002886002886002890,0.002886002886002890,0.05916305916305920,0.5483405483405480,0.03535353535353540
1992,Aladdin.txt,0.00984009840098401,0.00984009840098401,0.059655596555965600,0.2201722017220170,0.12423124231242300,0.03567035670356700,0.0024600246002460000,0.13345633456334600,0.007995079950799510,0.020910209102091000,0.0024600246002460000,6.15006150061501E-04,0.03567035670356700,0.06888068880688810,0.2681426814268140
1994,The_Lion_King.txt,0.0015220700152207,0.04261796042617960,0.0060882800608828,0.0015220700152207,0.0837138508371385,0.0060882800608828,0.0060882800608828,0.3257229832572300,0.2663622526636230,0.0015220700152207,0.04261796042617960,0.0015220700152207,0.0015220700152207,0.17960426179604300,0.0334855403348554
1995,Pocahontas.txt,9.55109837631328E-04,0.06685768863419290,0.0038204393505253100,0.0066857688634192900,0.33906399235912100,0.009551098376313280,0.029608404966571200,0.16714422158548200,0.22445081184336200,9.55109837631328E-04,9.55109837631328E-04,0.1069723018147090,9.55109837631328E-04,0.04106972301814710,9.55109837631328E-04
1996,The_Hunchback_of_Notre_Dame.txt,0.002677376171352080,0.23360107095046900,0.020749665327978600,0.16532797858099100,0.10910307898259700,0.004685408299866130,0.028781793842034800,0.15528781793842000,6.69344042838019E-04,0.004685408299866130,0.05488621151271750,6.69344042838019E-04,0.03681392235609100,0.18139223560910300,6.69344042838019E-04
1997,Hercules.txt,0.042328042328042300,0.006613756613756610,6.61375661375661E-04,0.006613756613756610,0.2526455026455030,0.046296296296296300,0.06415343915343920,0.16534391534391500,0.026455026455026500,0.026455026455026500,0.012566137566137600,0.006613756613756610,0.2189153439153440,0.06415343915343920,0.06018518518518520
1998,Mulan.txt,0.025185185185185200,0.005185185185185190,0.07407407407407410,0.01851851851851850,0.4562962962962960,0.016296296296296300,0.047407407407407400,0.09851851851851850,0.06296296296296300,7.40740740740741E-04,0.02962962962962960,0.002962962962962960,0.0762962962962963,0.056296296296296300,0.02962962962962960
1999,Fantasia.txt,0.003623188405797100,0.003623188405797100,0.003623188405797100,0.025362318840579700,0.09057971014492750,0.003623188405797100,0.014492753623188400,0.003623188405797100,0.003623188405797100,0.014492753623188400,0.11231884057971000,0.003623188405797100,0.6557971014492750,0.003623188405797100,0.05797101449275360
1999,Tarzan.txt,0.025333333333333300,0.0013333333333333300,0.0013333333333333300,0.0013333333333333300,0.2733333333333330,0.029333333333333300,0.025333333333333300,0.20933333333333300,0.2813333333333330,0.05733333333333330,0.005333333333333330,0.06133333333333330,0.0013333333333333300,0.0013333333333333300,0.025333333333333300
2000,Dinosaur.txt,0.0020449897750511200,0.0020449897750511200,0.0020449897750511200,0.0020449897750511200,0.081799591002045,0.2229038854805730,0.081799591002045,0.10020449897750500,0.30879345603272000,0.0020449897750511200,0.044989775051124700,0.008179959100204500,0.05725971370143150,0.05112474437627810,0.03271983640081800
2000,The_Emperor's_New_Groove.txt,0.03955901426718550,0.05317769130998700,0.30609597924773000,0.008430609597924770,0.07652399481193260,0.027885862516212700,0.0025940337224383900,0.05512321660181580,0.07263294422827500,0.008430609597924770,0.04539559014267190,0.018158236057068700,0.04345006485084310,0.02594033722438390,0.2166018158236060
2001,Atlantis_The_Lost_Empire.txt,0.03675730110775430,0.029204431017119800,0.017119838872104700,0.02467270896273920,0.15307150050352500,0.050352467270896300,0.02769385699899300,0.13192346424974800,0.041289023162134900,0.005035246727089630,0.030715005035246700,0.3826787512588120,5.03524672708963E-04,0.039778449144008100,0.029204431017119800
